Model,Price
Apple iPhone 12 (128GB) - Blue,"70,900"
Apple iPhone XR (64GB) - (Product) RED,"34,999"
Apple iPhone 12 Mini (128GB) - (Product) RED,"58,990"
Apple iPhone XR (128GB) - Black,"40,999"
Apple iPhone 11 (64GB) - Green,"49,900"
Apple iPhone 12 Mini (64GB) - Purple,"53,900"
Apple iPhone 12 (64GB) - Green,"63,900"
Apple iPhone 12 (64GB) - Purple,"63,900"
Apple iPhone XR (64GB) - White,"34,999"
Apple iPhone 13 Mini (256GB) - Starlight,"79,900"
Apple iPhone XR (128GB) - Coral,"40,999"
Apple iPhone 13 Mini (256GB) - (Product) RED,"79,900"
Apple iPhone 12 Mini (128GB) - Green,"64,900"
Apple iPhone 13 Mini (256GB) - Pink,"79,900"
Apple iPhone XR (128GB) - (Product) RED,"40,999"
Apple iPhone XR (64GB) - Coral,"34,999"
