Title,Stars
Keras-Tuner,31
Malaria-Detection,82
Deep-Learning-Car-Brand,63
Finding-an-Outlier,69
Weather-Chatbot-Using-Luis,31
RegressionandLasso,46
Image-Webscrapper,25
Gender-Recognition-and-Age-Estimator,50
Car-Price-Prediction,145
Credit-Card-Fraudlent,71
Huggingfacetransformer,29
Deployment-flask,216
Feature-Engineering-Live-sessions,221
Advanced-House-Price-Prediction-,177
EDA1,118
Python-Practise-Problems,330
PysparkRegressions,17
Flask-Web-Framework,52
MediaPipe,28
Media-Pipe,4
Data-Analyst-Skill-With-Videos-in-2021,238
Deployment-Deep-Learning-Model,76
Stock-MArket-Forecasting,127
Heroku-Demo,78
Django-Series,17
stats-sessions,21
Image-Segmentation-Using-Pixellib,16
Flask-Heroku,18
Natural-Language-Processing,141
Pywebheroku,10
